name,countAll,countYes,countNo,,,,,,,,
interface-builder,134,28,106,,,,,,,,
plot,134,55,79,,,,,,,,
escaping,133,30,103,,,,,,,,
mapreduce,133,40,93,,,,,,,,
sharepoint-designer,132,23,109,,,,,,,,
multiple-monitors,132,15,117,,,,,,,,
odbc,132,72,60,,,,,,,,
twitter-api,132,27,105,,,,,,,,
slider,132,81,51,,,,,,,,
mathematica,132,80,52,,,,,,,,
symfony1,132,0,132,,,,,,,,
soft-question,131,0,131,,,,,,,,
settings,131,62,69,,,,,,,,
x86,131,37,94,,,,,,,,
inequality,131,59,72,,,,,,,,
extjs4,131,9,122,,,,,,,,
g++,131,36,95,,,,,,,,
numbers,131,84,47,,,,,,,,
full-text-search,130,20,110,,,,,,,,
django-forms,130,16,114,,,,,,,,
macosx,130,2,128,,,,,,,,
math-mode,130,15,115,,,,,,,,
mp3,130,72,58,,,,,,,,
multivariable-calculus,130,1,129,,,,,,,,
iphone-sdk-3.0,130,0,130,,,,,,,,
authorization,129,39,90,,,,,,,,
xampp,129,68,61,,,,,,,,
uiimage,129,40,89,,,,,,,,
plugin-development,128,3,125,,,,,,,,
datepicker,128,70,58,,,,,,,,
video-streaming,128,20,108,,,,,,,,
jni,128,57,71,,,,,,,,
windows-mobile,128,55,73,,,,,,,,
integer,128,76,52,,,,,,,,
click,128,82,46,,,,,,,,
asp.net-web-api,128,26,102,,,,,,,,
android-asynctask,128,17,111,,,,,,,,
timezone,128,54,74,,,,,,,,
tortoisesvn,127,25,102,,,,,,,,
visual-studio-2005,127,22,105,,,,,,,,
c++-cli,127,4,123,,,,,,,,
registry,127,65,62,,,,,,,,
char,127,58,69,,,,,,,,
latex,126,74,52,,,,,,,,
linked-list,126,65,61,,,,,,,,
probability-distributions,126,0,126,,,,,,,,
books,126,84,42,,,,,,,,
directx,126,39,87,,,,,,,,
firefox-addon,125,12,113,,,,,,,,
asp.net-ajax,125,16,109,,,,,,,,
location,125,58,67,,,,,,,,
mapping,125,56,69,,,,,,,,
cloud,125,54,71,,,,,,,,
display,125,33,92,,,,,,,,
cursor,124,77,47,,,,,,,,
position,124,67,57,,,,,,,,
tdd,124,29,95,,,,,,,,
profiling,124,31,93,,,,,,,,
request,124,58,66,,,,,,,,
bind,124,50,74,,,,,,,,
admin,124,67,57,,,,,,,,
beamer,124,79,45,,,,,,,,
discrete-mathematics,123,1,122,,,,,,,,
nsmutablearray,122,56,66,,,,,,,,
flex3,122,3,119,,,,,,,,
localhost,122,52,70,,,,,,,,
persistence,122,20,102,,,,,,,,
gtk,122,31,91,,,,,,,,
screen,122,87,35,,,,,,,,
replication,122,62,60,,,,,,,,
continuous-integration,121,22,99,,,,,,,,
history,121,33,88,,,,,,,,
android-fragments,121,8,113,,,,,,,,
segmentation-fault,121,60,61,,,,,,,,
format,121,59,62,,,,,,,,
uitabbarcontroller,121,37,84,,,,,,,,
size,121,73,48,,,,,,,,
positioning,121,44,77,,,,,,,,
xmpp,120,53,67,,,,,,,,
xmlhttprequest,120,33,87,,,,,,,,
jasper-reports,120,12,108,,,,,,,,
install,120,71,49,,,,,,,,
facebook-connect,120,42,78,,,,,,,,
imagemagick,120,50,70,,,,,,,,
wordpress-plugin,120,29,91,,,,,,,,
iis-7.5,120,24,96,,,,,,,,
polymorphism,119,37,82,,,,,,,,
samba,119,70,49,,,,,,,,
drawing,119,60,59,,,,,,,,
group-policy,119,38,81,,,,,,,,
packages,119,69,50,,,,,,,,
uml,119,54,65,,,,,,,,
client-server,119,42,77,,,,,,,,
wmi,119,53,66,,,,,,,,
textview,118,75,43,,,,,,,,
project-management,118,11,107,,,,,,,,
uitextfield,118,58,60,,,,,,,,
pthreads,118,34,84,,,,,,,,
initialization,117,29,88,,,,,,,,
struts,117,44,73,,,,,,,,
hashmap,117,64,53,,,,,,,,
cross-platform,116,42,74,,,,,,,,
ruby-on-rails-3.2,116,0,116,,,,,,,,
sharepoint2007,116,1,115,,,,,,,,
nullpointerexception,116,35,81,,,,,,,,
timestamp,116,69,47,,,,,,,,
google-apps-script,116,26,90,,,,,,,,
sync,116,69,47,,,,,,,,
stochastic-processes,115,1,114,,,,,,,,
webbrowser,115,49,66,,,,,,,,
httpwebrequest,115,30,85,,,,,,,,
sql-server-ce,115,27,88,,,,,,,,
d3.js,115,37,78,,,,,,,,
hover,115,65,50,,,,,,,,
gallery,115,84,31,,,,,,,,
windows-installer,115,18,97,,,,,,,,
arm,114,50,64,,,,,,,,
microsoft-word,114,19,95,,,,,,,,
ios-simulator,114,15,99,,,,,,,,
report,114,77,37,,,,,,,,
save,114,53,61,,,,,,,,
radio-button,113,58,55,,,,,,,,
dataset,113,65,48,,,,,,,,
notation,113,48,65,,,,,,,,
load-balancing,113,33,80,,,,,,,,
nunit,113,62,51,,,,,,,,
cmd,112,28,84,,,,,,,,
categories,112,36,76,,,,,,,,
graphics-card,112,29,83,,,,,,,,
tkinter,112,75,37,,,,,,,,
client,112,67,45,,,,,,,,
sencha-touch,112,65,47,,,,,,,,
ejb,111,50,61,,,,,,,,
server,111,53,58,,,,,,,,
progress-bar,111,43,68,,,,,,,,
couchdb,111,63,48,,,,,,,,
jquery-validate,110,25,85,,,,,,,,
height,110,69,41,,,,,,,,
scheme,110,60,50,,,,,,,,
sendmail,110,46,64,,,,,,,,
sql-server-2000,110,29,81,,,,,,,,
prolog,110,70,40,,,,,,,,
applescript,110,59,51,,,,,,,,
associations,109,50,59,,,,,,,,
log4j,109,66,43,,,,,,,,
db2,109,63,46,,,,,,,,
jtable,109,81,28,,,,,,,,
cgi,109,59,50,,,,,,,,
html-parsing,109,11,98,,,,,,,,
cross-domain,108,44,64,,,,,,,,
itunes,108,81,27,,,,,,,,
css-float,108,9,99,,,,,,,,
pyqt,108,54,54,,,,,,,,
agile,107,39,68,,,,,,,,
asp.net-membership,107,26,81,,,,,,,,
microsoft-metro,107,1,106,,,,,,,,
schema,107,50,57,,,,,,,,
lisp,107,37,70,,,,,,,,
png,107,63,44,,,,,,,,
control,106,65,41,,,,,,,,
submit,106,43,63,,,,,,,,
arguments,106,67,39,,,,,,,,
rake,106,71,35,,,,,,,,
startup,106,43,63,,,,,,,,
media,106,42,64,,,,,,,,
theme-development,106,1,105,,,,,,,,
ring-theory,106,1,105,,,,,,,,
cc.complexity-theory,106,0,106,,,,,,,,
storyboard,105,56,49,,,,,,,,
boolean,105,51,54,,,,,,,,
phpunit,105,72,33,,,,,,,,
sqlalchemy,105,62,43,,,,,,,,
web-part,105,36,69,,,,,,,,
runtime,105,46,59,,,,,,,,
remote,105,53,52,,,,,,,,
vmware-esxi,105,19,86,,,,,,,,
touch,105,45,60,,,,,,,,
compact-framework,105,30,75,,,,,,,,
custom-controls,105,9,96,,,,,,,,
virtualhost,105,21,84,,,,,,,,
64bit,104,11,93,,,,,,,,
gnome,104,39,65,,,,,,,,
dhcp,104,64,40,,,,,,,,
wxpython,104,54,50,,,,,,,,
width,104,70,34,,,,,,,,
symbols,104,58,46,,,,,,,,
ntfs,104,48,56,,,,,,,,
metadata,104,48,56,,,,,,,,
c#-3.0,103,2,101,,,,,,,,
linq-to-xml,103,24,79,,,,,,,,
openid,103,67,36,,,,,,,,
gzip,103,43,60,,,,,,,,
microsoft-outlook,103,5,98,,,,,,,,
core-animation,103,13,90,,,,,,,,
css-selectors,103,7,96,,,,,,,,
scheduled-tasks,102,8,94,,,,,,,,
diff,102,45,57,,,,,,,,
set-theory,102,5,97,,,,,,,,
entity,102,54,48,,,,,,,,
form-validation,102,29,73,,,,,,,,
views,101,60,41,,,,,,,,
broadcastreceiver,101,21,80,,,,,,,,
jpeg,101,41,60,,,,,,,,
links,101,63,38,,,,,,,,
chat,101,56,45,,,,,,,,
operators,100,59,41,,,,,,,,
hql,100,49,51,,,,,,,,
troubleshooting,100,11,89,,,,,,,,
controls,100,54,46,,,,,,,,
table-of-contents,100,23,77,,,,,,,,
redis,100,68,32,,,,,,,,
pdf-generation,100,3,97,,,,,,,,
webdriver,100,47,53,,,,,,,,
compatibility,100,25,75,,,,,,,,
content,100,55,45,,,,,,,,
imap,99,58,41,,,,,,,,
operator-overloading,99,33,66,,,,,,,,
many-to-many,99,42,57,,,,,,,,
project,99,64,35,,,,,,,,
core-graphics,99,9,90,,,,,,,,
foreign-keys,99,17,82,,,,,,,,
remote-access,99,16,83,,,,,,,,
physics,99,12,87,,,,,,,,
buffer,99,58,41,,,,,,,,
return,98,80,18,,,,,,,,
facebook-javascript-sdk,98,11,87,,,,,,,,
excel-2007,98,20,78,,,,,,,,
edittext,98,74,24,,,,,,,,
activex,98,45,53,,,,,,,,
numerical-methods,98,2,96,,,,,,,,
sharepoint-enterprise,98,0,98,,,,,,,,
highcharts,98,66,32,,,,,,,,
queue,98,55,43,,,,,,,,
int,97,51,46,,,,,,,,
hp,97,57,40,,,,,,,,
desktop,97,58,39,,,,,,,,
ip-address,97,46,51,,,,,,,,
socket.io,97,57,40,,,,,,,,
naming-conventions,96,18,78,,,,,,,,
mediaplayer,96,30,66,,,,,,,,
content-type,96,53,43,,,,,,,,
xml-schema,96,33,63,,,,,,,,
hudson,96,57,39,,,,,,,,
package,96,53,43,,,,,,,,
mkmapview,96,27,69,,,,,,,,
ggplot2,96,39,57,,,,,,,,
warnings,96,50,46,,,,,,,,
jsonp,96,51,45,,,,,,,,
inversion-of-control,96,4,92,,,,,,,,
nested,96,67,29,,,,,,,,
windows-explorer,96,42,54,,,,,,,,
jetty,96,66,30,,,,,,,,
forms-authentication,96,28,68,,,,,,,,
ember.js,95,25,70,,,,,,,,
signals,95,47,48,,,,,,,,
stack,95,56,39,,,,,,,,
vertical-alignment,95,12,83,,,,,,,,
virtual,95,64,31,,,,,,,,
notepad++,95,71,24,,,,,,,,
jstl,95,42,53,,,,,,,,
web-development,95,7,88,,,,,,,,
version,95,63,32,,,,,,,,
custom-field,94,40,54,,,,,,,,
nvidia,94,38,56,,,,,,,,
custom-taxonomy,94,31,63,,,,,,,,
sharepoint-foundation,94,10,84,,,,,,,,
external-hard-drive,94,19,75,,,,,,,,
vps,94,38,56,,,,,,,,
update,94,47,47,,,,,,,,
prototypejs,94,6,88,,,,,,,,
textarea,94,67,27,,,,,,,,
branch,93,48,45,,,,,,,,
push-notification,93,50,43,,,,,,,,
xcode4.2,93,0,93,,,,,,,,
nat,93,42,51,,,,,,,,
openvpn,93,58,35,,,,,,,,
xorg,93,9,84,,,,,,,,
scrollbar,93,40,53,,,,,,,,
cmake,93,61,32,,,,,,,,
webbrowser-control,93,41,52,,,,,,,,
html-lists,93,2,91,,,,,,,,
pipe,93,37,56,,,,,,,,
e-commerce,93,15,78,,,,,,,,
richfaces,93,27,66,,,,,,,,
cassandra,93,67,26,,,,,,,,
reporting,92,65,27,,,,,,,,
setup,92,38,54,,,,,,,,
webcam,92,61,31,,,,,,,,
alignment,92,19,73,,,,,,,,
prime-numbers,92,11,81,,,,,,,,
paperclip,92,57,35,,,,,,,,
root,92,55,37,,,,,,,,
jquery-animate,92,18,74,,,,,,,,
relational-database,92,5,87,,,,,,,,
playframework-2.0,92,2,90,,,,,,,,
titanium,92,68,24,,,,,,,,
double,91,61,30,,,,,,,,
imageview,91,46,45,,,,,,,,
shell-script,91,16,75,,,,,,,,
2d,91,44,47,,,,,,,,
duplicates,91,67,24,,,,,,,,
zsh,91,48,43,,,,,,,,
nfs,91,56,35,,,,,,,,
vnc,91,48,43,,,,,,,,
bandwidth,91,51,40,,,,,,,,
domain-driven-design,91,10,81,,,,,,,,
voip,91,29,62,,,,,,,,
in-app-purchase,91,23,68,,,,,,,,
errors,91,36,55,,,,,,,,
lan,90,50,40,,,,,,,,
pde,90,27,63,,,,,,,,
components,90,59,31,,,,,,,,
updatepanel,90,41,49,,,,,,,,
override,90,36,54,,,,,,,,
rvm,90,53,37,,,,,,,,
sftp,90,57,33,,,,,,,,
ipv6,90,66,24,,,,,,,,
gpu,90,37,53,,,,,,,,
cakephp-1.3,90,5,85,,,,,,,,
preg-replace,90,1,89,,,,,,,,
.net-2.0,89,9,80,,,,,,,,
web-hosting,89,11,78,,,,,,,,
syntax-highlighting,89,26,63,,,,,,,,
web-scraping,89,6,83,,,,,,,,
oauth-2.0,89,15,74,,,,,,,,
liferay,89,55,34,,,,,,,,
hex,89,50,39,,,,,,,,
gae-datastore,89,6,83,,,,,,,,
ckeditor,89,66,23,,,,,,,,
nsarray,89,47,42,,,,,,,,
set,89,50,39,,,,,,,,
swt,88,41,47,,,,,,,,
exchange-2010,88,52,36,,,,,,,,
mongoid,88,42,46,,,,,,,,
context,88,52,36,,,,,,,,
reverse-proxy,88,40,48,,,,,,,,
msi,88,45,43,,,,,,,,
wamp,88,43,45,,,,,,,,
jersey,88,47,41,,,,,,,,
osgi,88,48,40,,,,,,,,
key,88,58,30,,,,,,,,
music,88,34,54,,,,,,,,
clone,87,37,50,,,,,,,,
django-views,87,5,82,,,,,,,,
preprocessor,87,29,58,,,,,,,,
uitableviewcontroller,87,22,65,,,,,,,,
websocket,87,41,46,,,,,,,,
emulator,87,56,31,,,,,,,,
swf,87,47,40,,,,,,,,
sudo,87,43,44,,,,,,,,
ssrs-2008,87,17,70,,,,,,,,
emailserver,87,0,87,,,,,,,,
database-connection,87,12,75,,,,,,,,
fortran,87,61,26,,,,,,,,
lvm,86,39,47,,,,,,,,
switch,86,39,47,,,,,,,,
mobile-safari,86,24,62,,,,,,,,
lamp,86,20,66,,,,,,,,
responsive-design,86,8,78,,,,,,,,
horizontal-alignment,86,3,83,,,,,,,,
sql-update,86,13,73,,,,,,,,
system,86,33,53,,,,,,,,
file-download,86,46,40,,,,,,,,
border,86,58,28,,,,,,,,
yum,86,41,45,,,,,,,,
motherboard,86,40,46,,,,,,,,
salesforce,86,37,49,,,,,,,,
flash-builder,86,26,60,,,,,,,,
cache,85,44,41,,,,,,,,
while-loop,85,32,53,,,,,,,,
websphere,85,42,43,,,,,,,,
transparency,85,16,69,,,,,,,,
datatables,85,68,17,,,,,,,,
ping,85,45,40,,,,,,,,
computer-vision,85,4,81,,,,,,,,
postback,85,42,43,,,,,,,,
bios,85,35,50,,,,,,,,
syntax-error,84,22,62,,,,,,,,
hyper-v,84,53,31,,,,,,,,
zoom,84,63,21,,,,,,,,
mpmovieplayercontroller,84,46,38,,,,,,,,
switch-statement,84,25,59,,,,,,,,
singleton,84,63,21,,,,,,,,
cxf,84,48,36,,,,,,,,
uilabel,84,47,37,,,,,,,,
html5-canvas,84,20,64,,,,,,,,
sinatra,84,55,29,,,,,,,,
resolution,83,46,37,,,,,,,,
memory-allocation,83,6,77,,,,,,,,
order,83,59,24,,,,,,,,
cucumber,83,46,37,,,,,,,,
google-api,83,44,39,,,,,,,,
sectioning,83,37,46,,,,,,,,
indentation,83,18,65,,,,,,,,
lazy-loading,83,35,48,,,,,,,,
ubuntu-12.04,83,20,63,,,,,,,,
dell,83,57,26,,,,,,,,
internet-explorer-6,83,3,80,,,,,,,,
master-pages,83,16,67,,,,,,,,
nsdate,83,32,51,,,,,,,,
squid,83,58,25,,,,,,,,
locale,83,31,52,,,,,,,,
rendering,83,39,44,,,,,,,,
ascii,83,40,43,,,,,,,,
global-variables,83,15,68,,,,,,,,
android-activity,82,10,72,,,,,,,,
learning,82,35,47,,,,,,,,
classpath,82,35,47,,,,,,,,
modal-dialog,82,30,52,,,,,,,,
alias,82,42,40,,,,,,,,
contacts,82,68,14,,,,,,,,
vsto,82,28,54,,,,,,,,
file-permissions,82,20,62,,,,,,,,
automatic-ref-counting,82,0,82,,,,,,,,
users,82,50,32,,,,,,,,
education,82,4,78,,,,,,,,
infopath,82,58,24,,,,,,,,
query-optimization,82,5,77,,,,,,,,
recovery,82,21,61,,,,,,,,
vector-spaces,82,1,81,,,,,,,,
ds.algorithms,81,0,81,,,,,,,,
windows-runtime,81,0,81,,,,,,,,
translation,81,21,60,,,,,,,,
plist,81,47,34,,,,,,,,
itextsharp,81,48,33,,,,,,,,
clr,81,23,58,,,,,,,,
clipboard,81,53,28,,,,,,,,
prism,81,28,53,,,,,,,,
jms,81,44,37,,,,,,,,
wiki,81,47,34,,,,,,,,
uitextview,81,54,27,,,,,,,,
uri,81,41,40,,,,,,,,
toggle,81,48,33,,,,,,,,
libraries,80,25,55,,,,,,,,
refresh,80,51,29,,,,,,,,
thumbnails,80,54,26,,,,,,,,
md5,80,50,30,,,,,,,,
sencha-touch-2,80,16,64,,,,,,,,
subquery,80,32,48,,,,,,,,
adapter,80,36,44,,,,,,,,
iteration,80,19,61,,,,,,,,
text-files,80,6,74,,,,,,,,
append,80,49,31,,,,,,,,
plone,79,41,38,,,,,,,,
selection,79,31,48,,,,,,,,
lens,79,37,42,,,,,,,,
base64,79,39,40,,,,,,,,
clickonce,79,59,20,,,,,,,,
wp-query,79,1,78,,,,,,,,
posix,79,20,59,,,,,,,,
label,79,55,24,,,,,,,,
category-theory,79,6,73,,,,,,,,
tar,78,37,41,,,,,,,,
devexpress,78,37,41,,,,,,,,
puppet,78,62,16,,,,,,,,
nsdictionary,78,42,36,,,,,,,,
innodb,78,33,45,,,,,,,,
assemblies,78,12,66,,,,,,,,
code-generation,78,7,71,,,,,,,,
pyqt4,78,24,54,,,,,,,,
pattern-matching,78,16,62,,,,,,,,
compare,78,32,46,,,,,,,,
monodevelop,78,35,43,,,,,,,,
firebug,78,44,34,,,,,,,,
thunderbird,78,67,11,,,,,,,,
elisp,78,7,71,,,,,,,,
type-conversion,77,11,66,,,,,,,,
call,77,56,21,,,,,,,,
skype,77,62,15,,,,,,,,
taxonomy,77,45,32,,,,,,,,
android-manifest,77,10,67,,,,,,,,
mapkit,77,25,52,,,,,,,,
monodroid,77,28,49,,,,,,,,
uinavigationbar,77,19,58,,,,,,,,
convergence,77,41,36,,,,,,,,
spinner,77,61,16,,,,,,,,
windows-phone-7.1,77,4,73,,,,,,,,
youtube-api,77,26,51,,,,,,,,
ejb-3.0,77,1,76,,,,,,,,
putty,77,46,31,,,,,,,,
xen,77,42,35,,,,,,,,
executable,77,31,46,,,,,,,,
action,77,46,31,,,,,,,,
scipy,77,18,59,,,,,,,,
nhibernate-mapping,77,19,58,,,,,,,,
standards,77,35,42,,,,,,,,
aes,77,35,42,,,,,,,,
conversion,76,3,73,,,,,,,,
wget,76,50,26,,,,,,,,
nlp,76,5,71,,,,,,,,
malloc,76,27,49,,,,,,,,
axis2,76,39,37,,,,,,,,
modules,76,38,38,,,,,,,,
arch-linux,76,9,67,,,,,,,,
tutorials,76,26,50,,,,,,,,
sass,76,30,46,,,,,,,,
fourier-analysis,76,1,75,,,,,,,,
wordpress-theming,76,0,76,,,,,,,,
constants,76,56,20,,,,,,,,
byte,76,50,26,,,,,,,,
phone,75,39,36,,,,,,,,
share,75,44,31,,,,,,,,
restore,75,37,38,,,,,,,,
nas,75,26,49,,,,,,,,
ethernet,75,31,44,,,,,,,,
freeze,75,29,46,,,,,,,,
menus,75,53,22,,,,,,,,
intel,75,45,30,,,,,,,,
file-transfer,75,25,50,,,,,,,,
screen-scraping,75,8,67,,,,,,,,
http-status-code-404,75,0,75,,,,,,,,
closures,75,39,36,,,,,,,,
data-recovery,75,7,68,,,,,,,,
sleep,74,35,39,,,,,,,,
user-accounts,74,2,72,,,,,,,,
pgfplots,74,33,41,,,,,,,,
awt,74,7,67,,,,,,,,
decimal,74,56,18,,,,,,,,
less,74,41,33,,,,,,,,
mingw,74,30,44,,,,,,,,
aptana,74,59,15,,,,,,,,
android-mapview,74,11,63,,,,,,,,
usb-flash-drive,74,7,67,,,,,,,,
android-webview,74,27,47,,,,,,,,
orientation,74,41,33,,,,,,,,
windows-phone-8,74,31,43,,,,,,,,
web-security,74,2,72,,,,,,,,
left-join,74,29,45,,,,,,,,
fastcgi,74,33,41,,,,,,,,
xss,74,34,40,,,,,,,,
biblatex,74,22,52,,,,,,,,
jpa-2.0,74,3,71,,,,,,,,
scalability,74,8,66,,,,,,,,
task-parallel-library,74,9,65,,,,,,,,
facebook-c#-sdk,74,18,56,,,,,,,,
signal-processing,74,2,72,,,,,,,,
log4net,73,58,15,,,,,,,,
ms-office,73,5,68,,,,,,,,
resharper,73,51,22,,,,,,,,
word,73,54,19,,,,,,,,
symfony-2.0,73,1,72,,,,,,,,
simplexml,73,35,38,,,,,,,,
embed,73,35,38,,,,,,,,
field-theory,73,0,73,,,,,,,,
raphael,73,39,34,,,,,,,,
richtextbox,73,39,34,,,,,,,,
derivatives,73,22,51,,,,,,,,
metric-spaces,73,6,67,,,,,,,,
jpanel,73,44,29,,,,,,,,
weblogic,73,44,29,,,,,,,,
silverlight-3.0,73,2,71,,,,,,,,
jsf-2.0,73,11,62,,,,,,,,
source,73,40,33,,,,,,,,
android-actionbar,73,8,65,,,,,,,,
columns,73,50,23,,,,,,,,
grub,73,39,34,,,,,,,,
administrator,72,27,45,,,,,,,,
stylesheet,72,23,49,,,,,,,,
const,72,41,31,,,,,,,,
permalinks,72,42,30,,,,,,,,
ninject,72,53,19,,,,,,,,
complex-numbers,72,11,61,,,,,,,,
hashtable,72,32,40,,,,,,,,
shared-libraries,72,5,67,,,,,,,,
html5-video,72,31,41,,,,,,,,
listener,72,30,42,,,,,,,,
wicket,72,42,30,,,,,,,,
communication,72,17,55,,,,,,,,
gd,72,24,48,,,,,,,,
substring,72,36,36,,,,,,,,
bytearray,72,14,58,,,,,,,,
monitor,72,37,35,,,,,,,,
try-catch,72,23,49,,,,,,,,
symbian,72,36,36,,,,,,,,
updates,71,39,32,,,,,,,,
structure,71,37,34,,,,,,,,
datasource,71,34,37,,,,,,,,
url-routing,71,8,63,,,,,,,,
delphi-7,71,14,57,,,,,,,,
rename,71,35,36,,,,,,,,
disk,71,45,26,,,,,,,,
loop,71,32,39,,,,,,,,
xetex,71,19,52,,,,,,,,
prototype,71,20,51,,,,,,,,
asp.net-mvc-routing,71,7,64,,,,,,,,
artificial-intelligence,71,6,65,,,,,,,,
fork,71,27,44,,,,,,,,
document,71,45,26,,,,,,,,
viewmodel,71,29,42,,,,,,,,
backgroundworker,71,33,38,,,,,,,,
nagios,71,45,26,,,,,,,,
row,71,53,18,,,,,,,,
like,71,51,20,,,,,,,,
exchange-2007,71,31,40,,,,,,,,
search-engine,71,24,47,,,,,,,,
windows-ce,71,20,51,,,,,,,,
document-library,70,27,43,,,,,,,,
administration,70,6,64,,,,,,,,
castle-windsor,70,30,40,,,,,,,,
multisite,70,26,44,,,,,,,,
device,70,48,22,,,,,,,,
dynamics-crm-2011,70,12,58,,,,,,,,
versioning,70,44,26,,,,,,,,
floats,70,12,58,,,,,,,,
hook,70,38,32,,,,,,,,
anchor,70,44,26,,,,,,,,
line,70,52,18,,,,,,,,
mootools,70,40,30,,,,,,,,
greasemonkey,70,33,37,,,,,,,,
metaprogramming,70,8,62,,,,,,,,
x11,70,13,57,,,,,,,,
preg-match,70,3,67,,,,,,,,
overlay,70,47,23,,,,,,,,
power-supply,69,16,53,,,,,,,,
blob,69,42,27,,,,,,,,
pinvoke,69,10,59,,,,,,,,
jframe,69,38,31,,,,,,,,
twisted,69,40,29,,,,,,,,
header-footer,69,4,65,,,,,,,,
nsurlconnection,69,29,40,,,,,,,,
build-process,69,3,66,,,,,,,,
capistrano,69,43,26,,,,,,,,
contextmenu,69,23,46,,,,,,,,
uninstall,69,49,20,,,,,,,,
heap,69,50,19,,,,,,,,
symfony-1.4,69,21,48,,,,,,,,
eclipse-rcp,69,19,50,,,,,,,,
wysiwyg,69,27,42,,,,,,,,
concatenation,69,18,51,,,,,,,,
tcl,69,40,29,,,,,,,,
rpm,69,41,28,,,,,,,,
tomcat6,69,5,64,,,,,,,,
exec,69,20,49,,,,,,,,
query-string,69,25,44,,,,,,,,
yui,69,42,27,,,,,,,,
cluster-computing,69,3,66,,,,,,,,
add-in,69,26,43,,,,,,,,
sql-order-by,69,4,65,,,,,,,,
spam,69,36,33,,,,,,,,
extension-methods,69,23,46,,,,,,,,
avfoundation,69,13,56,,,,,,,,
constraints,68,36,32,,,,,,,,
marshalling,68,15,53,,,,,,,,
mongoose,68,40,28,,,,,,,,
macbook,68,42,26,,,,,,,,
amazon,68,45,23,,,,,,,,
antlr,68,42,26,,,,,,,,
port-forwarding,68,26,42,,,,,,,,
primary-key,68,34,34,,,,,,,,
conditional,68,38,30,,,,,,,,
teamcity,68,40,28,,,,,,,,
fullcalendar,68,40,28,,,,,,,,
overflow,68,34,34,,,,,,,,
go,68,37,31,,,,,,,,
http-post,68,16,52,,,,,,,,
equations,68,36,32,,,,,,,,
exchange-2003,68,24,44,,,,,,,,
cakephp-2.0,67,6,61,,,,,,,,
manifest,67,31,36,,,,,,,,
benchmarking,67,29,38,,,,,,,,
file-sharing,67,7,60,,,,,,,,
markdown,67,45,22,,,,,,,,
jackson,67,42,25,,,,,,,,
gnuplot,67,45,22,,,,,,,,
hyperref,67,23,44,,,,,,,,
blogs,67,34,33,,,,,,,,
widgets,67,51,16,,,,,,,,
eval,67,22,45,,,,,,,,
special-characters,67,25,42,,,,,,,,
nodes,67,47,20,,,,,,,,
local,67,40,27,,,,,,,,
apt,67,8,59,,,,,,,,
sum,67,44,23,,,,,,,,
naming,67,19,48,,,,,,,,
partition,66,41,25,,,,,,,,
windows-registry,66,16,50,,,,,,,,
external,66,47,19,,,,,,,,
filters,66,28,38,,,,,,,,
real-time,66,25,41,,,,,,,,
tooltip,66,52,14,,,,,,,,
bibtex,66,24,42,,,,,,,,
abstract-class,66,23,43,,,,,,,,
overloading,66,42,24,,,,,,,,
opera,66,52,14,,,,,,,,
smarty,66,46,20,,,,,,,,
asmx,66,27,39,,,,,,,,
connection-string,66,30,36,,,,,,,,
lighttpd,66,45,21,,,,,,,,
productivity,66,7,59,,,,,,,,
filenames,66,24,42,,,,,,,,
printf,66,29,37,,,,,,,,
operating-systems,66,1,65,,,,,,,,
uiimagepickercontroller,66,24,42,,,,,,,,
network-shares,65,5,60,,,,,,,,
screenshot,65,42,23,,,,,,,,
microsoft-office,65,11,54,,,,,,,,
complexity,65,28,37,,,,,,,,
dropbox,65,44,21,,,,,,,,
source-code,65,29,36,,,,,,,,
selector,65,33,32,,,,,,,,
plesk,65,39,26,,,,,,,,
jboss7.x,65,0,65,,,,,,,,
beautifulsoup,65,35,30,,,,,,,,
mouseevent,65,2,63,,,,,,,,
maven-3,64,6,58,,,,,,,,
failover,64,26,38,,,,,,,,
driver,64,35,29,,,,,,,,
extract,64,43,21,,,,,,,,
cpanel,64,28,36,,,,,,,,
rdp,64,42,22,,,,,,,,
unity,64,38,26,,,,,,,,
case,64,42,22,,,,,,,,
character,64,45,19,,,,,,,,
rsa,64,33,31,,,,,,,,
implementation,64,18,46,,,,,,,,
ajaxcontroltoolkit,64,9,55,,,,,,,,
prepared-statement,64,32,32,,,,,,,,
range,64,43,21,,,,,,,,
background-image,64,37,27,,,,,,,,
hide,64,31,33,,,,,,,,
accessibility,64,14,50,,,,,,,,
jax-rs,64,23,41,,,,,,,,
printer,64,30,34,,,,,,,,
ms-access-2007,64,4,60,,,,,,,,
javafx-2,63,5,58,,,,,,,,
gorm,63,17,46,,,,,,,,
spreadsheet,63,26,37,,,,,,,,
app-config,63,1,62,,,,,,,,
apache-poi,63,29,34,,,,,,,,
linux-mint,63,27,36,,,,,,,,
visualization,63,16,47,,,,,,,,
virtual-machines,63,3,60,,,,,,,,
ocaml,63,41,22,,,,,,,,
sencha,63,36,27,,,,,,,,
language,63,45,18,,,,,,,,
inline,63,38,25,,,,,,,,
flask,63,32,31,,,,,,,,
biztalk,63,44,19,,,,,,,,
acl,63,32,31,,,,,,,,
filtering,63,47,16,,,,,,,,
iis7.5,63,6,57,,,,,,,,
proof-strategy,63,1,62,,,,,,,,
protocols,63,35,28,,,,,,,,
